group,feature_file,exercise,label_name,label,split
G1A,G1A-Anon-CTK-R1-Brest-022.npy,CTK,Incorrect,1,test
G1A,G1A-Anon-CTK-R1-Brest-038.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R1-Brest-042.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R1-Brest-054.npy,CTK,Incorrect,1,test
G1A,G1A-Anon-CTK-R1-Brest-056.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R1-Brest-057.npy,CTK,Correct,0,test
G1A,G1A-Anon-CTK-R1-Brest-061.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R1-Brest-062.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R1-Brest-071.npy,CTK,Incorrect,1,test
G1A,G1A-Anon-CTK-R1-Brest-073.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R1-Brest-095.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R1-Brest-099.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R1-Brest-104.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R1-Brest-108.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R2-Brest-008.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-014.npy,CTK,Incorrect,1,test
G1A,G1A-Anon-CTK-R2-Brest-020.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R2-Brest-024.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-030.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-032.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-036.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-048.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-055.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-065.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-070.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-078.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-086.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R2-Brest-107.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R3-Brest-002.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R3-Brest-011.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R3-Brest-033.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R3-Brest-039.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R3-Brest-064.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R3-Brest-066.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R3-Brest-067.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R3-Brest-072.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R3-Brest-083.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R3-Brest-084.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R3-Brest-092.npy,CTK,Incorrect,1,test
G1A,G1A-Anon-CTK-R3-Brest-094.npy,CTK,Incorrect,1,test
G1A,G1A-Anon-CTK-R3-Brest-102.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R3-Brest-106.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R4-Roscoff-007.npy,CTK,Correct,0,test
G1A,G1A-Anon-CTK-R4-Roscoff-010.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R4-Roscoff-019.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R4-Roscoff-041.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R4-Roscoff-044.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R4-Roscoff-047.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R4-Roscoff-052.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R4-Roscoff-053.npy,CTK,Incorrect,1,test
G1A,G1A-Anon-CTK-R4-Roscoff-076.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R4-Roscoff-080.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R4-Roscoff-081.npy,CTK,Correct,0,test
G1A,G1A-Anon-CTK-R4-Roscoff-087.npy,CTK,Correct,0,test
G1A,G1A-Anon-CTK-R4-Roscoff-089.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R4-Roscoff-103.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-004.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R5-Roscoff-005.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-016.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-028.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-037.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-045.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-049.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-050.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-058.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-063.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-075.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R5-Roscoff-085.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-097.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R5-Roscoff-105.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-006.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-017.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R6-Roscoff-023.npy,CTK,Correct,0,test
G1A,G1A-Anon-CTK-R6-Roscoff-027.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-031.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R6-Roscoff-035.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-040.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R6-Roscoff-060.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-069.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-079.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R6-Roscoff-082.npy,CTK,Incorrect,1,train
G1A,G1A-Anon-CTK-R6-Roscoff-098.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-100.npy,CTK,Correct,0,train
G1A,G1A-Anon-CTK-R6-Roscoff-101.npy,CTK,Correct,0,train
G1A,G1A-Anon-ELK-R1-Brest-003.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R1-Brest-014.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-029.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-041.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-046.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-048.npy,ELK,Incorrect,1,test
G1A,G1A-Anon-ELK-R1-Brest-049.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-052.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-059.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-062.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-069.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-074.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-075.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R1-Brest-092.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R2-Brest-001.npy,ELK,Incomplete,2,train
G1A,G1A-Anon-ELK-R2-Brest-008.npy,ELK,Incomplete,2,train
G1A,G1A-Anon-ELK-R2-Brest-012.npy,ELK,Incomplete,2,train
G1A,G1A-Anon-ELK-R2-Brest-017.npy,ELK,Incomplete,2,train
G1A,G1A-Anon-ELK-R2-Brest-027.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R2-Brest-033.npy,ELK,Incomplete,2,train
G1A,G1A-Anon-ELK-R2-Brest-038.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R2-Brest-039.npy,ELK,Incomplete,2,train
G1A,G1A-Anon-ELK-R2-Brest-064.npy,ELK,Correct,0,test
G1A,G1A-Anon-ELK-R2-Brest-067.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R2-Brest-073.npy,ELK,Correct,0,test
G1A,G1A-Anon-ELK-R2-Brest-076.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R2-Brest-079.npy,ELK,Correct,0,test
G1A,G1A-Anon-ELK-R2-Brest-087.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R3-Brest-002.npy,ELK,Correct,0,test
G1A,G1A-Anon-ELK-R3-Brest-011.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R3-Brest-013.npy,ELK,Incomplete,2,train
G1A,G1A-Anon-ELK-R3-Brest-028.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R3-Brest-034.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R3-Brest-035.npy,ELK,Correct,0,test
G1A,G1A-Anon-ELK-R3-Brest-040.npy,ELK,Correct,0,test
G1A,G1A-Anon-ELK-R3-Brest-055.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R3-Brest-061.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R3-Brest-066.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R3-Brest-070.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R3-Brest-083.npy,ELK,Correct,0,test
G1A,G1A-Anon-ELK-R3-Brest-088.npy,ELK,Correct,0,train
G1A,G1A-Anon-ELK-R4-Roscoff-004.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-009.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-015.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-030.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-031.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-036.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-045.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-050.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-051.npy,ELK,Incorrect,1,test
G1A,G1A-Anon-ELK-R4-Roscoff-054.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-065.npy,ELK,Incorrect,1,train
G1A,G1A-Anon-ELK-R4-Roscoff-082.npy,ELK,Incorrect,1,train
